circuit_id,circuit_name,city,country,track_length_km,year_opened,seating_capacity,number_of_turns,drs_zones,lap_record_seconds,lap_record_year,altitude_meters,surface_type,circuit_type,pit_lane_length_m,avg_temp_min_c,avg_temp_max_c,avg_top_speed_kmh,fia_grade,total_gp_hosted,tv_viewers_millions,ticket_price_usd,safety_car_freq,overtake_index,night_race,primary_engine_supplier,primary_broadcast_lang,pit_boxes,marshal_post_count,total_race_dist_km,elevation_change_m,turns_per_km,elevation_intensity,pit_stop_overhead_sec,track_speed_category
25023040,Las Vegas Street Circuit - Endurance Config,Las Vegas,USA,5.467,1960,247782,26,2,114.129,2019,1996,Asphalt,Permanent,378,15,41,360,1,71,6.82,1793,0.779,7.33,0,Mercedes,IT,20,11,360.82,99,4.7558075727089815,18.108651911468815,19.51,High Speed
21000137,Las Vegas Street Circuit,Las Vegas,USA,6.998,2004,263806,16,3,100.962,2013,592,Asphalt,Permanent,369,7,26,369,1,17,12.09,806,0.052,1.08,0,Mercedes,IT,16,26,489.86,171,2.286367533581023,24.435553015147185,19.105,High Speed
27254976,Autodromo Jose Carlos Pace,Sao Paulo,Brazil,3.97,1949,278283,14,2,98.915,2018,2372,Asphalt,Permanent,512,11,43,318,1,74,5.94,2906,0.023,0.98,0,Ferrari,ES,22,27,297.75,97,3.526448362720403,24.43324937027708,25.54,Medium Speed
22634078,Red Bull Ring,Spielberg,Austria,3.591,1955,233161,13,2,66.506,2015,930,Concrete,Street,331,3,21,346,1,9,6.14,2973,0.706,1.75,0,Ferrari,JA,26,23,161.59,112,3.620161514898357,31.189083820662766,17.395000000000003,High Speed
29846095,Circuit Zandvoort - Endurance Config,Zandvoort,Netherlands,4.568,1985,158500,23,2,88.757,2014,332,Concrete,Hybrid,478,4,44,339,2,75,5.06,3253,0.761,4.34,0,Ferrari,JA,12,25,200.99,213,5.035026269702277,46.62872154115587,24.01,Medium Speed
20346503,Autodromo Hermanos Rodriguez,Mexico City,Mexico,4.012,2017,396494,21,2,92.206,2008,625,Concrete,Street,445,28,27,307,1,64,2.11,2362,0.47,4.21,0,Alfa Romeo,FR,22,34,224.67,49,5.234297108673979,12.213359920239283,22.525000000000002,Medium Speed
21107030,Nürburgring - Endurance Config,Nürburg,Germany,5.604,1969,186002,14,1,102.049,2016,151,Asphalt,Hybrid,415,5,41,305,1,48,15.23,843,0.33,4.38,0,Alfa Romeo,EN,23,11,375.47,71,2.4982155603140614,12.669521770164168,21.175,Medium Speed
21218673,Yas Marina Circuit - Reverse Layout,Abu Dhabi,UAE,5.182,2010,80913,17,2,94.218,2019,1010,Asphalt,Permanent,293,24,23,314,1,49,12.58,2959,0.494,5.56,1,Alfa Romeo,EN,11,23,285.01,6,3.280586646082593,1.1578541103820919,15.685,Medium Speed
29750541,Circuit de Spa-Francorchamps,Spa,Belgium,7.066,1991,392789,12,2,60.657,2020,793,Asphalt,Hybrid,285,12,20,268,2,55,13.18,3147,0.056,4.95,1,Alfa Romeo,PT,24,26,388.63,149,1.6982734220209454,21.086894990093406,15.325000000000001,Low Speed
26065228,Mugello Circuit,Mugello,Italy,4.681,1981,404396,20,2,74.832,2022,859,Concrete,Permanent,327,10,29,347,1,31,4.14,1916,0.631,7.09,0,Honda,IT,8,10,360.44,84,4.272591326639607,17.94488357188635,17.215,High Speed
28991786,Bahrain International Circuit - Historic Layout,Sakhir,Bahrain,5.964,2005,154951,9,5,69.93,2020,2274,Concrete,Permanent,455,4,48,370,1,21,4.92,345,0.092,3.77,0,Ferrari,PT,22,12,423.44,41,1.5090543259557343,6.87458081824279,22.975,High Speed
20631722,Circuit de Monaco,Monte Carlo,Monaco,3.959,1963,55748,16,1,111.145,2015,1815,Asphalt,Street,307,25,22,324,1,43,6.93,447,0.313,4.02,1,Mercedes,ES,12,13,237.54,201,4.041424602172266,50.77039656478909,16.315,Medium Speed
26479460,Circuit de Monaco,Monte Carlo,Monaco,2.806,1969,295419,20,1,111.48,2017,2120,Asphalt,Permanent,403,4,43,295,1,30,5.42,2989,0.293,5.91,0,Alfa Romeo,ZH,23,14,188.0,74,7.127583749109052,26.37205987170349,20.635,Low Speed
28143408,Albert Park Circuit - Reverse Layout,Melbourne,Australia,4.914,1954,286488,12,4,103.037,2022,143,Concrete,Permanent,422,19,23,322,1,27,14.1,3379,0.679,8.09,0,Alfa Romeo,AR,20,24,343.98,6,2.442002442002442,1.221001221001221,21.490000000000002,Medium Speed
23885278,Circuit Gilles Villeneuve,Montreal,Canada,4.608,1949,69277,11,2,62.587,2017,1985,Asphalt,Hybrid,494,22,35,353,1,8,12.84,1140,0.686,5.76,1,Honda,EN,23,29,244.22,183,2.387152777777778,39.71354166666667,24.73,High Speed
20728927,Estoril Circuit,Estoril,Portugal,4.487,1978,300523,24,1,79.523,2014,412,Asphalt,Street,372,24,23,351,1,33,10.48,2325,0.453,4.23,0,Alfa Romeo,JA,17,13,197.43,187,5.348785379986628,41.67595275239581,19.240000000000002,High Speed
22628384,Yas Marina Circuit - Endurance Config,Abu Dhabi,UAE,5.873,1956,245082,16,2,65.998,2008,605,Asphalt,Permanent,222,7,21,304,1,61,14.36,465,0.088,5.67,1,Ferrari,JA,25,14,405.24,94,2.724331687382939,16.005448663374764,12.49,Medium Speed
28009862,Circuit de Barcelona-Catalunya - Endurance Config,Barcelona,Spain,5.431,1983,412754,25,2,91.338,2018,1471,Mixed,Street,481,10,37,330,1,44,13.58,2723,0.631,2.8,0,Ferrari,FR,11,30,276.98,167,4.603203829865587,30.749401583502117,24.145,Medium Speed
26990877,Istanbul Park,Istanbul,Turkey,5.201,1956,208087,6,1,64.797,2023,2058,Asphalt,Street,487,11,50,353,1,74,10.42,245,0.724,9.91,1,Alfa Romeo,PT,10,31,291.26,137,1.1536243030186504,26.341088252259183,24.415,High Speed
20493367,Estoril Circuit - Endurance Config,Estoril,Portugal,4.561,1990,40444,13,1,99.363,2018,135,Asphalt,Permanent,349,4,37,270,1,12,4.31,2569,0.462,3.42,0,Alfa Romeo,EN,16,23,310.15,6,2.8502521376891035,1.3155009866257399,18.205,Low Speed
25481392,Suzuka International Racing Course,Suzuka,Japan,5.653,1984,174357,23,1,70.011,2015,1062,Asphalt,Permanent,370,21,47,380,1,24,11.96,1258,0.405,5.76,0,Honda,FR,10,19,339.18,92,4.068636122412879,16.274544489651515,19.150000000000002,High Speed
23291236,Losail International Circuit - Reverse Layout,Lusail,Qatar,5.969,1949,385892,12,1,117.685,2014,1899,Asphalt,Permanent,465,22,43,347,2,16,15.23,1005,0.561,6.48,0,Ferrari,AR,19,16,274.57,118,2.010386999497403,19.768805495057798,23.425,High Speed
25954197,Imola Circuit,Imola,Italy,5.117,1988,381341,15,1,98.542,2014,2065,Asphalt,Street,381,28,31,333,1,29,10.12,3012,0.373,9.48,0,Renault,PT,20,22,230.26,92,2.93140512018761,17.979284737150675,19.645,Medium Speed
27233433,Mugello Circuit - Endurance Config,Mugello,Italy,5.096,1958,107061,18,1,65.024,2021,255,Asphalt,Street,384,7,43,291,1,55,8.75,326,0.309,7.04,0,Mercedes,AR,17,16,234.42,55,3.532182103610675,10.792778649921507,19.78,Low Speed
23069263,Bahrain International Circuit - Historic Layout,Sakhir,Bahrain,6.116,1948,334430,14,5,86.635,2008,674,Asphalt,Street,242,19,39,354,2,73,10.35,2318,0.054,9.94,1,Ferrari,AR,10,31,477.05,115,2.289077828646174,18.80313930673643,13.39,High Speed
23433287,Jeddah Corniche Circuit,Jeddah,Saudi Arabia,5.766,1991,290733,22,3,73.077,2009,888,Concrete,Permanent,490,5,29,379,1,17,10.5,2019,0.433,3.58,0,Renault,IT,24,24,322.9,195,3.815469996531391,33.818938605619145,24.55,High Speed
28958500,Red Bull Ring,Spielberg,Austria,4.318,1976,398254,8,2,95.363,2012,131,Asphalt,Street,478,18,43,302,1,62,5.97,2050,0.398,6.2,0,Renault,AR,11,18,272.03,119,1.852709587772117,27.559055118110237,24.01,Medium Speed
26005092,Mugello Circuit - Alt Chicane,Mugello,Italy,5.089,1990,395027,9,1,116.043,2022,2552,Asphalt,Permanent,295,13,25,367,1,47,14.08,2927,0.425,5.85,0,Mercedes,AR,16,24,244.27,52,1.7685203379838867,10.218117508351344,15.775,High Speed
21797374,Silverstone Circuit - Endurance Config,Silverstone,UK,5.748,2015,201746,16,1,92.567,2017,617,Mixed,Permanent,470,19,31,356,1,3,4.44,2536,0.47,1.8,0,Renault,NL,20,12,413.86,136,2.7835768963117604,23.660403618649966,23.650000000000002,High Speed
25431862,Miami International Autodrome - Historic Layout,Miami,USA,4.739,1981,341734,15,3,66.07,2016,505,Asphalt,Street,467,8,34,306,1,26,14.07,275,0.544,6.01,0,Honda,IT,10,30,298.56,26,3.165224730955898,5.48638953365689,23.515,Medium Speed
23274690,Silverstone Circuit - Endurance Config,Silverstone,UK,5.094,1948,305226,7,2,65.483,2010,1288,Asphalt,Permanent,359,20,36,316,1,14,1.5,2702,0.645,8.43,0,Ferrari,JA,20,12,290.36,123,1.3741656851197486,24.146054181389868,18.655,Medium Speed
26143506,Circuit de Monaco - Historic Layout,Monte Carlo,Monaco,2.951,1968,396396,12,1,86.19,2017,890,Asphalt,Permanent,247,17,39,294,1,0,3.34,729,0.066,0.75,0,Alfa Romeo,EN,24,26,209.52,45,4.066418163334463,15.249068112504235,13.615,Low Speed
25881920,Autodromo Hermanos Rodriguez - Endurance Config,Mexico City,Mexico,4.333,2014,288846,12,3,71.069,2009,2333,Asphalt,Street,344,28,28,303,1,1,13.72,2659,0.598,2.93,0,Mercedes,FR,17,11,311.98,135,2.76944380336949,31.15624278790676,17.98,Medium Speed
21923381,Portimao Circuit - Revised 2020,Portimao,Portugal,5.142,1994,321369,19,2,116.334,2011,1201,Asphalt,Permanent,493,13,41,271,1,68,1.84,3254,0.434,5.06,0,Ferrari,DE,13,17,277.67,124,3.6950602878257484,24.115130299494357,24.685000000000002,Low Speed
29063312,Circuit of the Americas,Austin,USA,5.516,1959,141791,26,2,73.876,2013,1695,Asphalt,Permanent,500,20,20,372,1,13,12.97,531,0.55,8.86,0,Mercedes,AR,18,34,270.28,49,4.713560551124003,8.883248730964468,25.0,High Speed
24247897,Nürburgring - Alt Chicane,Nürburg,Germany,5.499,1957,77564,8,2,90.985,2015,2552,Asphalt,Permanent,351,1,24,308,1,4,6.07,146,0.608,1.48,0,Alfa Romeo,ES,25,16,406.93,145,1.4548099654482634,26.368430623749774,18.295,Medium Speed
23140762,Losail International Circuit - Short Circuit,Lusail,Qatar,5.438,2018,128324,7,2,60.24,2014,1591,Asphalt,Permanent,256,27,47,337,2,43,2.76,410,0.59,6.24,0,Alfa Romeo,EN,9,29,250.15,125,1.2872379551305628,22.986392055902908,14.02,Medium Speed
21645276,Portimao Circuit - Short Circuit,Portimao,Portugal,4.47,2008,123280,22,1,64.493,2017,1363,Asphalt,Street,374,1,37,303,1,21,5.0,1844,0.172,1.97,0,Ferrari,JA,8,11,263.73,25,4.921700223713647,5.592841163310962,19.330000000000002,Medium Speed
26085481,Estoril Circuit,Estoril,Portugal,3.992,1948,186030,26,2,80.864,2019,806,Asphalt,Hybrid,280,12,38,336,2,18,6.55,3231,0.426,3.5,0,Mercedes,PT,10,36,243.51,140,6.513026052104208,35.07014028056112,15.1,Medium Speed
25244548,Circuit de Barcelona-Catalunya,Barcelona,Spain,4.383,1975,71159,24,2,74.126,2014,875,Asphalt,Permanent,310,23,40,335,2,33,7.56,268,0.528,0.85,0,Ferrari,DE,26,22,192.85,79,5.475701574264202,18.024184348619666,16.450000000000003,Medium Speed
23152806,Albert Park Circuit,Melbourne,Australia,4.75,1994,235826,25,5,108.474,2014,1659,Concrete,Hybrid,237,23,31,270,1,67,5.65,2271,0.081,4.85,1,Alfa Romeo,AR,20,15,237.5,161,5.2631578947368425,33.89473684210526,13.165000000000001,Low Speed
25673135,Miami International Autodrome,Miami,USA,5.063,1953,323286,22,3,116.584,2016,1036,Asphalt,Permanent,399,10,21,278,1,38,14.19,3371,0.411,1.68,0,Renault,ZH,12,29,329.09,148,4.345249851866482,29.231680821647245,20.455000000000002,Low Speed
24116746,Suzuka International Racing Course - Revised 2020,Suzuka,Japan,5.21,1992,129847,17,2,93.896,2021,1201,Asphalt,Permanent,471,12,37,360,1,72,6.86,1391,0.404,8.09,0,Renault,JA,14,13,234.45,135,3.2629558541266794,25.911708253358924,23.695,High Speed
22842807,Autodromo Hermanos Rodriguez,Mexico City,Mexico,4.336,2011,39692,24,3,96.069,2016,1159,Asphalt,Permanent,386,23,33,266,1,53,13.85,761,0.444,2.2,1,Alfa Romeo,DE,22,21,225.47,121,5.535055350553505,27.905904059040587,19.87,Low Speed
28374902,Miami International Autodrome,Miami,USA,5.617,2010,153646,9,2,64.126,2014,809,Asphalt,Permanent,389,19,24,343,2,14,15.53,2334,0.666,4.42,0,Ferrari,EN,13,21,247.15,105,1.602278796510593,18.693252625956916,20.005,High Speed
22570207,Circuit Gilles Villeneuve - Short Circuit,Montreal,Canada,4.296,1973,171556,15,2,94.402,2019,1540,Asphalt,Street,470,24,21,339,2,55,15.86,2756,0.168,4.19,0,Alfa Romeo,EN,11,31,227.69,220,3.4916201117318435,51.21042830540037,23.650000000000002,Medium Speed
23989731,Autodromo Nazionale Monza - Revised 2020,Monza,Italy,5.925,1949,207692,24,3,103.817,2021,86,Asphalt,Permanent,234,8,31,346,2,26,5.75,1468,0.73,2.17,0,Mercedes,IT,12,12,266.62,198,4.050632911392405,33.41772151898734,13.030000000000001,High Speed
25474571,Kyalami,Johannesburg,South Africa,4.579,1991,330675,12,3,86.52,2014,311,Asphalt,Permanent,309,1,24,292,3,51,5.08,2516,0.348,4.61,0,Honda,ZH,20,36,215.21,71,2.62065953264905,15.50556890150688,16.405,Low Speed
21006329,Portimao Circuit - Endurance Config,Portimao,Portugal,4.702,1991,68729,8,1,116.449,2018,2389,Asphalt,Permanent,509,18,47,355,2,52,14.2,1584,0.201,9.38,1,Mercedes,NL,15,28,253.91,34,1.7014036580178649,7.230965546575925,25.405,High Speed
21252218,Silverstone Circuit - Historic Layout,Silverstone,UK,5.623,1963,404712,6,3,102.354,2023,2418,Asphalt,Permanent,364,18,45,361,2,10,5.98,524,0.036,3.56,0,Honda,FR,16,24,253.03,92,1.0670460608216255,16.361372932598258,18.88,High Speed
23307235,Magny-Cours - Short Circuit,Magny-Cours,France,3.928,1980,175819,6,2,64.674,2015,1723,Asphalt,Permanent,326,19,22,321,1,30,11.23,513,0.42,6.6,0,Ferrari,JA,21,31,235.68,187,1.5274949083503055,47.60692464358452,17.17,Medium Speed
23784912,Circuit de Spa-Francorchamps,Spa,Belgium,7.004,1962,340428,16,2,76.034,2018,974,Asphalt,Street,433,12,29,311,1,17,12.7,257,0.386,4.86,0,Ferrari,DE,12,24,518.3,134,2.284408909194746,19.131924614505998,21.985,Medium Speed
25680347,Suzuka International Racing Course - Endurance Config,Suzuka,Japan,5.258,1994,272711,25,1,97.644,2016,660,Asphalt,Permanent,276,13,25,362,2,45,12.71,1511,0.112,5.1,1,Honda,FR,10,11,320.74,192,4.7546595663750475,36.51578546976037,14.92,High Speed
28229931,Istanbul Park,Istanbul,Turkey,5.954,1949,108488,10,1,105.098,2013,2080,Asphalt,Street,212,25,20,298,1,83,10.93,3031,0.279,7.12,0,Ferrari,AR,18,19,392.96,168,1.6795431642593215,28.2163251595566,12.040000000000001,Low Speed
27634058,Autodromo Nazionale Monza - Historic Layout,Monza,Italy,5.819,2020,180094,14,3,68.246,2008,2461,Asphalt,Permanent,231,24,47,310,1,44,13.48,146,0.508,5.19,0,Alfa Romeo,FR,14,13,349.14,105,2.405911668671593,18.044337515036947,12.895,Medium Speed
26851499,Autodromo Hermanos Rodriguez - Reverse Layout,Mexico City,Mexico,4.297,1993,196531,16,3,107.71,2010,217,Mixed,Permanent,289,0,39,298,2,15,13.94,2042,0.626,6.03,0,Alfa Romeo,ZH,12,25,210.55,167,3.723528042820573,38.86432394693973,15.505,Low Speed
27465462,Silverstone Circuit,Silverstone,UK,6.037,1968,218296,17,2,117.105,2018,906,Asphalt,Permanent,338,7,24,361,1,70,8.03,2324,0.394,2.69,0,Honda,IT,24,22,356.18,38,2.8159681961239027,6.294517144276959,17.71,High Speed
29640426,Nürburgring - Reverse Layout,Nürburg,Germany,4.631,1965,160416,16,1,107.152,2023,1115,Asphalt,Hybrid,319,22,27,354,1,29,12.69,1879,0.171,7.72,0,Mercedes,PT,22,15,240.81,2,3.454977326711293,0.43187216583891164,16.855,High Speed
25862144,Nürburgring,Nürburg,Germany,5.814,2010,190837,6,1,117.594,2009,2032,Asphalt,Permanent,438,19,27,279,1,78,4.76,640,0.789,7.49,0,Alfa Romeo,FR,22,20,302.33,155,1.0319917440660475,26.659786721706226,22.21,Low Speed
27462745,Autodromo Nazionale Monza,Monza,Italy,5.185,1974,313487,9,3,87.132,2014,1433,Asphalt,Street,511,11,34,266,2,54,2.72,2636,0.189,5.47,0,Alfa Romeo,AR,24,36,305.91,89,1.7357762777242045,17.164898746383802,25.495,Low Speed
24368015,Circuit Gilles Villeneuve,Montreal,Canada,4.361,2003,277292,20,2,90.815,2023,1977,Asphalt,Oval,371,14,45,341,1,54,8.44,255,0.168,3.18,0,Renault,DE,22,32,296.55,5,4.586104104563174,1.1465260261407935,19.195,High Speed
27621438,Mugello Circuit,Mugello,Italy,5.44,2016,35088,22,2,63.637,2021,311,Concrete,Permanent,220,8,38,367,2,24,13.27,2813,0.37,9.32,0,Honda,ES,9,29,424.32,198,4.044117647058823,36.397058823529406,12.4,High Speed
21675113,Yas Marina Circuit,Abu Dhabi,UAE,5.281,1976,90080,9,2,69.381,2023,2127,Asphalt,Permanent,385,6,40,358,1,52,2.43,316,0.381,1.56,0,Alfa Romeo,EN,20,23,274.61,177,1.7042226850975195,33.51637947358455,19.825,High Speed
27667512,Silverstone Circuit,Silverstone,UK,6.62,1949,172693,15,1,110.895,2020,1471,Asphalt,Permanent,280,21,38,302,1,15,4.62,1182,0.668,3.54,0,Ferrari,DE,14,18,410.44,42,2.2658610271903323,6.3444108761329305,15.1,Medium Speed
21479161,Hungaroring,Budapest,Hungary,4.734,1970,246332,6,1,86.588,2018,652,Asphalt,Permanent,506,24,50,273,1,22,8.04,2568,0.768,2.83,0,Mercedes,DE,26,16,250.9,134,1.267427122940431,28.305872412336292,25.27,Low Speed
20634863,Circuit Zandvoort,Zandvoort,Netherlands,3.885,1994,195313,9,3,76.142,2018,2331,Concrete,Street,257,8,21,266,1,76,9.19,1956,0.285,7.78,0,Mercedes,EN,21,27,310.8,31,2.316602316602317,7.97940797940798,14.065000000000001,Low Speed
24480475,Baku City Circuit,Baku,Azerbaijan,5.955,1978,322889,14,2,89.982,2013,1614,Asphalt,Permanent,377,24,21,367,1,23,7.12,2881,0.43,9.23,0,Alfa Romeo,IT,25,10,291.8,68,2.3509655751469354,11.418975650713685,19.465,High Speed
26171946,Istanbul Park - Short Circuit,Istanbul,Turkey,5.419,1975,28010,23,1,117.578,2009,977,Concrete,Permanent,236,6,32,362,1,54,12.69,757,0.179,8.13,0,Alfa Romeo,FR,20,17,287.21,84,4.244325521313896,15.501014947407272,13.120000000000001,High Speed
